Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2018-07-24,LTCBTC,0.01057,0.01112,0.01034,0.01064,5385.29,57.85
2018-07-23,LTCBTC,0.0111,0.01125,0.01053,0.01057,3708.03,40.25
2018-07-22,LTCBTC,0.01129,0.01129,0.01098,0.0111,1858.75,20.68
2018-07-21,LTCBTC,0.01118,0.01144,0.01095,0.01129,3082.25,34.66
2018-07-20,LTCBTC,0.01153,0.01157,0.01111,0.01118,5794.13,65.46
2018-07-19,LTCBTC,0.01173,0.01189,0.01153,0.01153,2985.72,34.88
2018-07-18,LTCBTC,0.01218,0.01263,0.0117,0.01173,4105.59,50.28
2018-07-17,LTCBTC,0.01247,0.01251,0.01199,0.01218,3385.74,41.29
2018-07-16,LTCBTC,0.01239,0.01258,0.01226,0.01247,2579.76,32.13
2018-07-15,LTCBTC,0.01218,0.01244,0.01206,0.01239,1828.75,22.31
2018-07-14,LTCBTC,0.01228,0.01232,0.01218,0.01218,566.54,6.94
2018-07-13,LTCBTC,0.0123,0.01245,0.01221,0.01228,1253.35,15.46
2018-07-12,LTCBTC,0.01223,0.01238,0.01202,0.0123,2494.87,30.5
2018-07-11,LTCBTC,0.01201,0.01266,0.01195,0.01223,3798.73,46.52
2018-07-10,LTCBTC,0.01206,0.01222,0.0117,0.01201,4182.86,49.48
2018-07-09,LTCBTC,0.01228,0.01233,0.01206,0.01206,1707.56,20.83
2018-07-08,LTCBTC,0.01258,0.01264,0.01223,0.01228,1170.79,14.59
2018-07-07,LTCBTC,0.0126,0.0126,0.01216,0.01258,1787.34,22.1
2018-07-06,LTCBTC,0.01275,0.01286,0.01251,0.0126,1616.51,20.44
2018-07-05,LTCBTC,0.01295,0.01304,0.01265,0.01275,1765.97,22.69
2018-07-04,LTCBTC,0.01309,0.0132,0.01292,0.01295,2836.72,37.03
2018-07-03,LTCBTC,0.01291,0.0135,0.01289,0.01309,4679.37,62.01
2018-07-02,LTCBTC,0.01255,0.01303,0.01248,0.01291,3932.92,50.34
2018-07-01,LTCBTC,0.01269,0.01271,0.01237,0.01255,2590.46,32.44
2018-06-30,LTCBTC,0.01273,0.01306,0.01253,0.01269,5766.02,74.22
2018-06-29,LTCBTC,0.01268,0.01288,0.0123,0.01273,8898.93,111.75
2018-06-28,LTCBTC,0.01311,0.01321,0.01268,0.01268,2796.96,36.11
2018-06-27,LTCBTC,0.01249,0.01324,0.01244,0.01311,3686.81,47.32
2018-06-26,LTCBTC,0.01303,0.01318,0.01245,0.01249,4070.13,52.43
2018-06-25,LTCBTC,0.01313,0.01342,0.01286,0.01303,5912.17,77.96
2018-06-24,LTCBTC,0.01343,0.01349,0.0127,0.01313,6133.98,80.21
2018-06-23,LTCBTC,0.01403,0.01408,0.0134,0.01343,2054.27,27.98
2018-06-22,LTCBTC,0.0144,0.0144,0.0135,0.01403,8559.64,119.36
2018-06-21,LTCBTC,0.01448,0.01461,0.01431,0.0144,2085.0,30.12
2018-06-20,LTCBTC,0.01462,0.01473,0.01443,0.01448,2051.62,29.8
2018-06-19,LTCBTC,0.01469,0.01485,0.01452,0.01462,3186.21,46.82
2018-06-18,LTCBTC,0.01471,0.01485,0.01448,0.01469,3025.37,44.3
2018-06-17,LTCBTC,0.01493,0.01496,0.0147,0.01471,1356.68,20.07
2018-06-16,LTCBTC,0.01495,0.01499,0.01467,0.01493,2361.2,35.05
2018-06-15,LTCBTC,0.01518,0.01521,0.01476,0.01495,4888.05,73.11
2018-06-14,LTCBTC,0.01486,0.01536,0.01467,0.01518,5345.05,80.45
2018-06-13,LTCBTC,0.01522,0.01527,0.01436,0.01486,8313.36,122.62
2018-06-12,LTCBTC,0.01559,0.01574,0.01505,0.01522,5776.55,88.94
2018-06-11,LTCBTC,0.01578,0.01597,0.01541,0.01559,5302.96,83.25
2018-06-10,LTCBTC,0.01567,0.01592,0.01543,0.01578,10199.83,159.62
2018-06-09,LTCBTC,0.01573,0.01584,0.01552,0.01567,1708.58,26.77
2018-06-08,LTCBTC,0.01579,0.01587,0.01559,0.01573,1142.33,17.93
2018-06-07,LTCBTC,0.01588,0.01597,0.01562,0.01579,4606.73,72.59
2018-06-06,LTCBTC,0.016,0.01608,0.01573,0.01588,2808.2,44.63
2018-06-05,LTCBTC,0.01597,0.01604,0.01573,0.016,7873.69,125.29
2018-06-04,LTCBTC,0.01626,0.0164,0.01585,0.01597,3713.62,59.61
2018-06-03,LTCBTC,0.01615,0.01653,0.01602,0.01626,5616.85,91.69
2018-06-02,LTCBTC,0.01597,0.01619,0.01583,0.01615,5330.18,85.6
2018-06-01,LTCBTC,0.01577,0.016,0.01571,0.01597,2782.55,44.21
2018-05-31,LTCBTC,0.01589,0.01598,0.01574,0.01577,2817.08,44.56
2018-05-30,LTCBTC,0.01598,0.01623,0.0157,0.01589,8611.03,138.27
2018-05-29,LTCBTC,0.01562,0.0164,0.01556,0.01598,6429.63,103.55
2018-05-28,LTCBTC,0.01604,0.01615,0.01554,0.01562,3269.4,51.49
2018-05-27,LTCBTC,0.01616,0.01618,0.01597,0.01604,1249.31,20.09
2018-05-26,LTCBTC,0.01587,0.01619,0.01587,0.01616,1688.26,27.12
2018-05-25,LTCBTC,0.01615,0.0163,0.01586,0.01587,3322.39,53.34
2018-05-24,LTCBTC,0.01576,0.01642,0.01558,0.01615,5731.65,91.92
2018-05-23,LTCBTC,0.01603,0.01611,0.0155,0.01576,4396.08,69.5
2018-05-22,LTCBTC,0.01602,0.01631,0.01594,0.01603,1454.43,23.41
2018-05-21,LTCBTC,0.01633,0.0164,0.016,0.01602,2501.86,40.37
2018-05-20,LTCBTC,0.0164,0.01655,0.01626,0.01633,2161.06,35.44
2018-05-19,LTCBTC,0.0165,0.01656,0.01628,0.0164,1340.99,21.95
2018-05-18,LTCBTC,0.01642,0.01668,0.01622,0.0165,2984.54,48.93
2018-05-17,LTCBTC,0.01671,0.01685,0.01634,0.01642,3410.38,56.74
2018-05-16,LTCBTC,0.01643,0.01673,0.01634,0.01671,3127.3,51.9
2018-05-15,LTCBTC,0.01701,0.0171,0.01634,0.01643,6224.83,103.91
2018-05-14,LTCBTC,0.01665,0.01728,0.01619,0.01701,12030.43,201.99
2018-05-13,LTCBTC,0.0167,0.01683,0.01625,0.01665,5841.0,96.73
2018-05-12,LTCBTC,0.0162,0.01679,0.01595,0.0167,7737.28,127.09
2018-05-11,LTCBTC,0.01643,0.01656,0.016,0.0162,8001.22,130.02
2018-05-10,LTCBTC,0.01682,0.0172,0.0164,0.01643,5509.44,92.55
2018-05-09,LTCBTC,0.01732,0.01736,0.01679,0.01682,4509.72,76.61
2018-05-08,LTCBTC,0.01761,0.01782,0.01716,0.01732,4562.45,79.77
2018-05-07,LTCBTC,0.01784,0.01786,0.01713,0.01761,10112.18,177.39
2018-05-06,LTCBTC,0.0181,0.01856,0.01746,0.01784,7066.51,126.36
2018-05-05,LTCBTC,0.01743,0.01845,0.01729,0.0181,11407.93,204.01
2018-05-04,LTCBTC,0.01654,0.01764,0.01642,0.01743,9484.66,161.13
2018-05-03,LTCBTC,0.01643,0.01726,0.01641,0.01654,9312.27,156.4
2018-05-02,LTCBTC,0.01633,0.0167,0.01614,0.01643,4430.03,72.9
2018-05-01,LTCBTC,0.01608,0.01633,0.016,0.01633,4191.99,67.75
2018-04-30,LTCBTC,0.01634,0.01639,0.0105,0.01608,10078.56,159.5
2018-04-29,LTCBTC,0.01629,0.01642,0.01607,0.01634,5387.52,87.68
2018-04-28,LTCBTC,0.01633,0.01637,0.0161,0.01629,5261.51,85.45
2018-04-27,LTCBTC,0.01657,0.01658,0.01612,0.01633,5183.6,84.73
2018-04-26,LTCBTC,0.01633,0.0167,0.01631,0.01657,3702.44,61.13
2018-04-25,LTCBTC,0.01706,0.01709,0.01592,0.01633,8704.87,142.62
2018-04-24,LTCBTC,0.01705,0.01765,0.01701,0.01706,6009.91,104.5
2018-04-23,LTCBTC,0.01666,0.01728,0.01664,0.01705,4734.76,80.52
2018-04-22,LTCBTC,0.01668,0.01699,0.01643,0.01666,3424.27,57.44
2018-04-21,LTCBTC,0.01757,0.01773,0.01634,0.01668,7148.74,121.13
2018-04-20,LTCBTC,0.01766,0.01796,0.0174,0.01757,6191.84,109.51
2018-04-19,LTCBTC,0.01718,0.01784,0.01704,0.01766,4456.19,77.66
2018-04-18,LTCBTC,0.01679,0.01738,0.01677,0.01718,5408.13,92.34
2018-04-17,LTCBTC,0.01595,0.0173,0.01595,0.01679,11167.96,187.04
