Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USD
2019-05-17,XRPUSD,0.4201,0.425,0.358,0.3903,51478469.02,19562767.99
2019-05-16,XRPUSD,0.4594,0.48,0.374,0.4201,60161387.54,25827378.82
2019-05-15,XRPUSD,0.4085,0.469,0.4069,0.4594,64815991.27,28124077.11
2019-05-14,XRPUSD,0.3243,0.4244,0.323,0.4085,106362781.72,41315084.39
2019-05-13,XRPUSD,0.3107,0.3321,0.3077,0.3243,22972118.25,7476049.36
2019-05-12,XRPUSD,0.3226,0.3315,0.3021,0.3107,24433328.42,7709366.09
2019-05-11,XRPUSD,0.2977,0.341,0.297,0.3226,31099077.92,9928138.55
2019-05-10,XRPUSD,0.2931,0.301,0.2903,0.2977,8217223.49,2433833.0
2019-05-09,XRPUSD,0.297,0.2997,0.2901,0.2931,4493863.2,1324633.9
2019-05-08,XRPUSD,0.2936,0.2989,0.2912,0.297,3852443.39,1139154.77
2019-05-07,XRPUSD,0.3,0.304,0.3,0.3015,1765519.35,533956.78
2019-05-06,XRPUSD,0.2973,0.3062,0.2916,0.3,7160349.28,2138205.03
2019-05-05,XRPUSD,0.2998,0.3011,0.2955,0.2973,2960462.1,882995.91
2019-05-04,XRPUSD,0.3021,0.3125,0.2946,0.2998,7385938.68,2226029.44
2019-05-03,XRPUSD,0.2966,0.3074,0.2949,0.3021,7059520.62,2129234.87
2019-05-02,XRPUSD,0.2992,0.3017,0.295,0.2966,3431215.42,1023173.44
2019-05-01,XRPUSD,0.3051,0.309,0.2956,0.2992,6892426.56,2073275.98
2019-04-30,XRPUSD,0.2879,0.3084,0.2876,0.3051,13053864.58,3947393.66
2019-04-29,XRPUSD,0.2908,0.2949,0.2836,0.2879,7783059.1,2249800.0
2019-04-28,XRPUSD,0.2922,0.2955,0.2876,0.2908,4073342.35,1187157.35
2019-04-27,XRPUSD,0.2938,0.296,0.2903,0.2922,3449016.18,1007881.56
2019-04-26,XRPUSD,0.2864,0.2953,0.2822,0.2938,9355391.03,2700663.18
2019-04-25,XRPUSD,0.301,0.308,0.2796,0.2864,13324626.45,3903143.57
2019-04-24,XRPUSD,0.3201,0.3215,0.2902,0.301,21875979.07,6604509.26
2019-04-23,XRPUSD,0.3241,0.3283,0.3201,0.3201,7860715.13,2554047.38
2019-04-22,XRPUSD,0.3218,0.3327,0.3185,0.3241,8078370.68,2630370.89
2019-04-21,XRPUSD,0.3281,0.3296,0.3176,0.3218,7724450.04,2478071.14
2019-04-20,XRPUSD,0.332,0.3344,0.3231,0.3281,4498640.58,1487259.29
2019-04-19,XRPUSD,0.3365,0.3365,0.3272,0.332,4245799.54,1405509.08
2019-04-18,XRPUSD,0.3353,0.3488,0.3338,0.3365,8526989.47,2896665.17
2019-04-17,XRPUSD,0.3256,0.3419,0.3207,0.3353,17017680.92,5605211.02
2019-04-16,XRPUSD,0.3193,0.3266,0.3159,0.3256,5531368.57,1778001.1
2019-04-15,XRPUSD,0.3295,0.3326,0.3134,0.3193,7492364.87,2413557.66
2019-04-14,XRPUSD,0.3261,0.331,0.322,0.3295,2658630.65,867227.76
2019-04-13,XRPUSD,0.3256,0.3369,0.3225,0.3261,5217418.36,1714733.08
2019-04-12,XRPUSD,0.3295,0.3303,0.318,0.3256,6871224.52,2227675.19
2019-04-11,XRPUSD,0.3542,0.3548,0.322,0.3295,18844387.63,6319860.24
2019-04-10,XRPUSD,0.35,0.3611,0.349,0.3542,6759783.64,2406435.22
2019-04-09,XRPUSD,0.3588,0.3591,0.3487,0.35,5190583.09,1831573.03
2019-04-08,XRPUSD,0.3629,0.3704,0.3495,0.3588,10966445.83,3941165.64
2019-04-07,XRPUSD,0.3525,0.3659,0.3509,0.3629,6373919.49,2292863.39
2019-04-06,XRPUSD,0.3637,0.3637,0.3476,0.3525,11433406.43,4072874.64
2019-04-05,XRPUSD,0.3307,0.3791,0.3307,0.3637,28859553.26,10496377.95
2019-04-04,XRPUSD,0.3421,0.3492,0.3256,0.3307,14951556.05,5041491.37
2019-04-03,XRPUSD,0.3533,0.375,0.328,0.3421,40384213.3,14464849.98
2019-04-02,XRPUSD,0.3121,0.36,0.311,0.3533,44820144.28,15081460.79
2019-04-01,XRPUSD,0.3081,0.3134,0.3071,0.3121,3139744.47,976665.18
2019-03-19,XRPUSD,0.313,0.3138,0.3127,0.3128,202267.7,63318.45
2019-03-18,XRPUSD,0.3142,0.3182,0.3105,0.313,3897369.14,1221347.81
2019-03-17,XRPUSD,0.3177,0.3177,0.3128,0.3142,2748480.47,864692.83
2019-03-16,XRPUSD,0.3129,0.32,0.3024,0.3177,12358558.99,3911244.96
2019-03-15,XRPUSD,0.3096,0.3155,0.3086,0.3129,3131293.3,977560.24
2019-03-14,XRPUSD,0.3129,0.3145,0.306,0.3096,5885098.14,1819300.59
2019-03-13,XRPUSD,0.3085,0.3246,0.3061,0.3129,8260509.44,2600232.57
2019-03-12,XRPUSD,0.3088,0.3099,0.3044,0.3085,4247735.85,1306416.05
2019-03-11,XRPUSD,0.3116,0.3129,0.307,0.3088,6449818.78,1987397.8
2019-03-10,XRPUSD,0.312,0.3159,0.3077,0.3116,6429295.21,2000382.24
2019-03-09,XRPUSD,0.3062,0.3167,0.3055,0.312,5149131.34,1608858.2
2019-03-08,XRPUSD,0.3113,0.3141,0.302,0.3062,5874233.51,1810735.27
2019-03-07,XRPUSD,0.3156,0.3177,0.3108,0.3113,7456015.96,2334231.62
2019-03-06,XRPUSD,0.3142,0.3197,0.3088,0.3156,8595219.39,2701782.72
2019-03-05,XRPUSD,0.3007,0.317,0.3002,0.3142,9081757.48,2821108.16
2019-03-04,XRPUSD,0.3094,0.3105,0.2972,0.3007,8435190.2,2554906.77
2019-03-03,XRPUSD,0.3131,0.3144,0.3067,0.3094,4464141.28,1384964.16
2019-03-02,XRPUSD,0.3145,0.3164,0.3083,0.3131,4903326.64,1533254.35
2019-03-01,XRPUSD,0.3127,0.3233,0.3103,0.3145,10982699.42,3489680.76
2019-02-28,XRPUSD,0.3092,0.3157,0.3051,0.3127,9299314.06,2885964.75
2019-02-27,XRPUSD,0.3153,0.3175,0.2981,0.3092,9913091.26,3062186.94
2019-02-26,XRPUSD,0.3265,0.334,0.3123,0.3153,11983073.33,3827910.37
2019-02-25,XRPUSD,0.2966,0.3389,0.296,0.3265,24791417.05,7976761.48
2019-02-24,XRPUSD,0.3315,0.3419,0.2941,0.2966,25325637.51,7874977.48
2019-02-23,XRPUSD,0.3191,0.3337,0.3158,0.3315,9329999.86,3039385.52
2019-02-22,XRPUSD,0.317,0.3207,0.3128,0.3191,4993184.38,1585454.72
