Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EBTC
2018-07-20,DOGEBTC,5.3e-07,5.3e-07,4.4e-07,4.6e-07,274387.87,0.1265
2018-07-19,DOGEBTC,5.0e-07,5.3e-07,4.4e-07,5.3e-07,483264.07,0.2379
2018-07-18,DOGEBTC,4.5e-07,5.5e-07,4.3e-07,5.0e-07,810273.25,0.3993
2018-07-17,DOGEBTC,4.5e-07,4.5e-07,4.0e-07,4.5e-07,1048293.53,0.4479
2018-07-16,DOGEBTC,3.7e-07,4.5e-07,3.7e-07,4.5e-07,591002.27,0.2308
2018-07-15,DOGEBTC,3.7e-07,3.8e-07,3.7e-07,3.7e-07,86841.68,0.03277
2018-07-14,DOGEBTC,3.7e-07,3.9e-07,3.7e-07,3.7e-07,689374.91,0.2555
2018-07-13,DOGEBTC,3.7e-07,3.9e-07,3.7e-07,3.7e-07,51924.84,0.01952
2018-07-12,DOGEBTC,3.9e-07,3.9e-07,3.7e-07,3.7e-07,271320.75,0.1009
2018-07-11,DOGEBTC,3.8e-07,3.9e-07,3.7e-07,3.9e-07,125350.06,0.04785
2018-07-10,DOGEBTC,3.9e-07,4.0e-07,3.8e-07,3.8e-07,495376.66,0.1914
2018-07-09,DOGEBTC,4.0e-07,4.1e-07,3.9e-07,3.9e-07,224947.95,0.08969
2018-07-08,DOGEBTC,3.9e-07,4.0e-07,3.9e-07,4.0e-07,433742.48,0.1703
2018-07-07,DOGEBTC,4.0e-07,4.0e-07,3.9e-07,3.9e-07,293157.88,0.1156
2018-07-06,DOGEBTC,4.0e-07,4.0e-07,3.8e-07,4.0e-07,328939.86,0.1312
2018-07-05,DOGEBTC,4.0e-07,4.1e-07,3.9e-07,4.0e-07,392222.03,0.1593
2018-07-04,DOGEBTC,4.0e-07,4.2e-07,4.0e-07,4.0e-07,407821.33,0.1654
2018-07-03,DOGEBTC,4.2e-07,4.3e-07,4.0e-07,4.0e-07,284748.07,0.1166
2018-07-02,DOGEBTC,4.0e-07,4.2e-07,3.9e-07,4.2e-07,320378.72,0.1286
2018-07-01,DOGEBTC,3.9e-07,4.0e-07,3.9e-07,4.0e-07,224460.74,0.0887
2018-06-30,DOGEBTC,3.7e-07,4.0e-07,3.7e-07,3.9e-07,125528.56,0.04911
2018-06-29,DOGEBTC,3.9e-07,4.0e-07,3.7e-07,3.7e-07,385539.78,0.1516
2018-06-28,DOGEBTC,4.2e-07,4.2e-07,3.9e-07,3.9e-07,323905.83,0.1292
2018-06-27,DOGEBTC,4.1e-07,4.2e-07,3.9e-07,4.2e-07,201222.22,0.08062
2018-06-26,DOGEBTC,4.1e-07,4.1e-07,3.9e-07,4.1e-07,413047.73,0.167
2018-06-25,DOGEBTC,4.0e-07,4.1e-07,4.0e-07,4.1e-07,177108.13,0.07151
2018-06-24,DOGEBTC,4.2e-07,4.2e-07,4.0e-07,4.0e-07,574292.56,0.2337
2018-06-23,DOGEBTC,4.2e-07,4.4e-07,4.2e-07,4.2e-07,139114.56,0.05967
2018-06-22,DOGEBTC,4.4e-07,4.4e-07,4.2e-07,4.2e-07,387342.43,0.1677
2018-06-21,DOGEBTC,4.4e-07,4.5e-07,4.3e-07,4.4e-07,549634.99,0.2416
2018-06-20,DOGEBTC,4.5e-07,4.6e-07,4.4e-07,4.4e-07,524590.52,0.2346
2018-06-19,DOGEBTC,4.4e-07,4.6e-07,4.4e-07,4.5e-07,539721.57,0.2419
2018-06-18,DOGEBTC,4.4e-07,4.5e-07,4.3e-07,4.4e-07,82099.56,0.03625
2018-06-17,DOGEBTC,4.5e-07,4.5e-07,4.3e-07,4.4e-07,307719.11,0.1347
2018-06-16,DOGEBTC,4.5e-07,4.6e-07,4.4e-07,4.5e-07,219336.71,0.09858
2018-06-15,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.5e-07,342688.9,0.153
2018-06-14,DOGEBTC,4.4e-07,4.6e-07,4.3e-07,4.4e-07,561796.09,0.2488
2018-06-13,DOGEBTC,4.8e-07,4.8e-07,4.2e-07,4.4e-07,639883.66,0.29
2018-06-12,DOGEBTC,4.6e-07,4.8e-07,4.6e-07,4.8e-07,625321.38,0.2949
2018-06-11,DOGEBTC,4.6e-07,4.8e-07,4.6e-07,4.6e-07,631044.22,0.2951
2018-06-10,DOGEBTC,4.8e-07,4.9e-07,4.4e-07,4.6e-07,906776.65,0.4213
2018-06-09,DOGEBTC,4.8e-07,4.9e-07,4.7e-07,4.8e-07,479233.05,0.2315
2018-06-08,DOGEBTC,4.9e-07,5.0e-07,4.7e-07,4.8e-07,1151794.66,0.5593
2018-06-07,DOGEBTC,4.8e-07,5.0e-07,4.8e-07,4.9e-07,256860.48,0.1245
2018-06-06,DOGEBTC,4.7e-07,4.9e-07,4.7e-07,4.8e-07,981335.64,0.4749
2018-06-05,DOGEBTC,4.8e-07,4.8e-07,4.6e-07,4.7e-07,1289438.79,0.6055
2018-06-04,DOGEBTC,4.9e-07,4.9e-07,4.5e-07,4.8e-07,3120326.1,1.452
2018-06-03,DOGEBTC,4.8e-07,4.9e-07,4.6e-07,4.9e-07,2494775.91,1.191
2018-06-02,DOGEBTC,4.6e-07,4.8e-07,4.4e-07,4.8e-07,951459.93,0.4341
2018-06-01,DOGEBTC,4.5e-07,4.6e-07,4.4e-07,4.6e-07,1508219.06,0.6781
2018-05-31,DOGEBTC,4.4e-07,4.8e-07,4.2e-07,4.5e-07,5613856.41,2.512
2018-05-30,DOGEBTC,4.5e-07,4.9e-07,4.4e-07,4.4e-07,1060827.3,0.4832
2018-05-29,DOGEBTC,4.5e-07,4.7e-07,4.2e-07,4.5e-07,1991659.52,0.8924
2018-05-28,DOGEBTC,4.5e-07,4.7e-07,4.3e-07,4.5e-07,2241161.26,1.005
2018-05-27,DOGEBTC,4.7e-07,4.7e-07,4.4e-07,4.5e-07,2168931.71,0.9816
2018-05-26,DOGEBTC,4.7e-07,4.7e-07,4.6e-07,4.7e-07,1760093.88,0.8158
2018-05-25,DOGEBTC,4.7e-07,4.9e-07,4.6e-07,4.7e-07,617287.93,0.292
2018-05-24,DOGEBTC,4.5e-07,4.8e-07,4.4e-07,4.7e-07,860392.79,0.3919
2018-05-23,DOGEBTC,4.7e-07,4.9e-07,4.4e-07,4.5e-07,1332704.98,0.6197
2018-05-22,DOGEBTC,5.1e-07,5.2e-07,4.5e-07,4.7e-07,717585.11,0.3579
2018-05-21,DOGEBTC,5.1e-07,5.2e-07,5.0e-07,5.1e-07,774009.45,0.3987
2018-05-20,DOGEBTC,5.1e-07,5.2e-07,5.0e-07,5.1e-07,522898.55,0.2677
2018-05-19,DOGEBTC,5.3e-07,5.3e-07,5.1e-07,5.1e-07,561885.49,0.2918
2018-05-18,DOGEBTC,5.1e-07,5.3e-07,4.9e-07,5.3e-07,686753.98,0.3513
2018-05-17,DOGEBTC,5.2e-07,5.4e-07,4.6e-07,5.1e-07,2100332.51,1.067
2018-05-16,DOGEBTC,5.4e-07,5.4e-07,5.2e-07,5.2e-07,954091.18,0.5085
2018-05-15,DOGEBTC,5.3e-07,5.4e-07,5.1e-07,5.4e-07,1115773.78,0.5871
2018-05-14,DOGEBTC,5.1e-07,5.3e-07,4.9e-07,5.3e-07,5180103.81,2.643
2018-05-13,DOGEBTC,5.1e-07,5.3e-07,5.0e-07,5.1e-07,705626.24,0.3633
2018-05-12,DOGEBTC,5.1e-07,5.2e-07,5.0e-07,5.1e-07,497140.7,0.255
