Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2016-09-26,ETHBTC,0.02168,0.02195,0.02098,0.0211,47210.47,1005.21
2016-09-25,ETHBTC,0.02138,0.022,0.02124,0.02168,42597.38,922.09
2016-09-24,ETHBTC,0.02216,0.02216,0.0209,0.02138,52643.53,1130.85
2016-09-23,ETHBTC,0.02196,0.02268,0.02185,0.02216,76675.13,1704.07
2016-09-22,ETHBTC,0.02294,0.02311,0.0208,0.02196,188439.76,4089.3
2016-09-21,ETHBTC,0.02351,0.02409,0.02202,0.02294,221434.97,5108.52
2016-09-20,ETHBTC,0.02115,0.02368,0.02115,0.02351,271936.21,6100.47
2016-09-19,ETHBTC,0.01988,0.02141,0.0196,0.02115,119651.95,2503.54
2016-09-18,ETHBTC,0.021,0.02148,0.01963,0.01988,246230.05,5039.52
2016-09-17,ETHBTC,0.02072,0.02106,0.02039,0.021,28839.27,599.43
2016-09-16,ETHBTC,0.01957,0.02106,0.01953,0.02072,89389.32,1836.2
2016-09-15,ETHBTC,0.01953,0.0199,0.0195,0.01957,39564.49,780.61
2016-09-14,ETHBTC,0.0195,0.01965,0.0193,0.01953,30954.27,603.98
2016-09-13,ETHBTC,0.01966,0.01994,0.01937,0.0195,70590.01,1389.6
2016-09-12,ETHBTC,0.01923,0.01968,0.01862,0.01966,62504.57,1208.66
2016-09-11,ETHBTC,0.0194,0.01969,0.01861,0.01923,90890.27,1746.62
2016-09-10,ETHBTC,0.01871,0.0194,0.01843,0.0194,35948.99,677.62
2016-09-09,ETHBTC,0.01809,0.01884,0.01802,0.01871,53042.45,983.46
2016-09-08,ETHBTC,0.01885,0.01902,0.01781,0.01809,119716.52,2185.43
2016-09-07,ETHBTC,0.01911,0.01932,0.0187,0.01885,48699.24,925.55
2016-09-06,ETHBTC,0.01935,0.01939,0.0188,0.01911,43121.7,820.12
2016-09-05,ETHBTC,0.01918,0.01961,0.01906,0.01935,51667.17,998.72
2016-09-04,ETHBTC,0.01969,0.01979,0.01901,0.01918,52086.74,1004.69
2016-09-03,ETHBTC,0.02102,0.02153,0.0193,0.01969,123721.59,2505.38
2016-09-02,ETHBTC,0.02127,0.0215,0.02062,0.02102,50250.78,1057.63
2016-09-01,ETHBTC,0.02015,0.02208,0.02011,0.02127,181166.92,3857.77
2016-08-31,ETHBTC,0.01951,0.02022,0.01934,0.02015,49345.89,980.89
2016-08-30,ETHBTC,0.01902,0.01963,0.019,0.01951,56151.26,1088.95
2016-08-29,ETHBTC,0.01904,0.0194,0.01863,0.01902,59321.86,1129.61
2016-08-28,ETHBTC,0.0196,0.01961,0.01901,0.01904,34788.24,671.75
2016-08-27,ETHBTC,0.01952,0.01975,0.0194,0.0196,24904.86,487.25
2016-08-26,ETHBTC,0.01964,0.01985,0.0193,0.01952,33342.0,652.11
2016-08-25,ETHBTC,0.01898,0.01975,0.01897,0.01964,53646.19,1046.56
2016-08-24,ETHBTC,0.0189,0.01926,0.01886,0.01898,28082.14,536.11
2016-08-23,ETHBTC,0.01884,0.01924,0.01868,0.0189,26352.72,497.98
2016-08-22,ETHBTC,0.0192,0.01942,0.0188,0.01884,35409.64,677.64
2016-08-21,ETHBTC,0.01944,0.01945,0.01877,0.0192,38937.9,741.65
2016-08-20,ETHBTC,0.01876,0.0195,0.01863,0.01944,50837.53,977.58
2016-08-19,ETHBTC,0.01873,0.01905,0.01859,0.01876,36116.75,676.23
2016-08-18,ETHBTC,0.01878,0.01926,0.0187,0.01873,55044.57,1046.63
2016-08-17,ETHBTC,0.01925,0.01939,0.0187,0.01878,61013.96,1163.66
2016-08-16,ETHBTC,0.01976,0.02013,0.01875,0.01925,93067.03,1814.66
2016-08-15,ETHBTC,0.01965,0.01987,0.01934,0.01976,35654.65,699.37
2016-08-14,ETHBTC,0.01966,0.02013,0.01939,0.01965,75047.92,1487.27
2016-08-13,ETHBTC,0.02011,0.02014,0.01961,0.01966,48850.49,970.61
2016-08-12,ETHBTC,0.01983,0.02061,0.01975,0.02011,75687.3,1525.66
2016-08-11,ETHBTC,0.02089,0.02095,0.01952,0.01983,110450.31,2213.33
2016-08-10,ETHBTC,0.02081,0.0214,0.0197,0.02089,278929.43,5742.73
2016-08-09,ETHBTC,0.01913,0.02124,0.01901,0.02081,232951.24,4705.55
2016-08-08,ETHBTC,0.01855,0.01925,0.01831,0.01913,80517.4,1503.69
2016-08-07,ETHBTC,0.0186,0.0189,0.01801,0.01855,103356.33,1907.83
2016-08-06,ETHBTC,0.01898,0.01908,0.01785,0.0186,109094.74,2013.73
2016-08-05,ETHBTC,0.01925,0.01949,0.01875,0.01898,134211.3,2564.21
2016-08-04,ETHBTC,0.01792,0.01975,0.0178,0.01925,283999.57,5392.32
2016-08-03,ETHBTC,0.01629,0.01894,0.0158,0.01792,472359.29,8196.8
2016-08-02,ETHBTC,0.0182,0.01824,0.0137,0.01629,1013422.92,16422.13
2016-08-01,ETHBTC,0.019,0.01939,0.0182,0.0182,176795.84,3288.6
2016-07-31,ETHBTC,0.01909,0.0197,0.01815,0.019,205899.0,3900.86
2016-07-30,ETHBTC,0.01966,0.01966,0.01909,0.01909,46675.75,898.55
2016-07-29,ETHBTC,0.01964,0.01972,0.01912,0.01966,89229.81,1730.76
2016-07-28,ETHBTC,0.01996,0.01996,0.019,0.01964,167957.97,3258.55
2016-07-27,ETHBTC,0.01831,0.02058,0.018,0.01996,401466.55,7854.31
2016-07-26,ETHBTC,0.02116,0.02124,0.01757,0.01831,621496.6,11864.13
2016-07-25,ETHBTC,0.01905,0.02124,0.01905,0.02116,211631.3,4322.37
2016-07-24,ETHBTC,0.0217,0.0221,0.0185,0.01905,510616.07,10149.17
2016-07-23,ETHBTC,0.02265,0.02296,0.02137,0.0217,196958.04,4348.26
2016-07-22,ETHBTC,0.01885,0.0228,0.01876,0.02265,464087.04,9679.59
2016-07-21,ETHBTC,0.01868,0.0192,0.01791,0.01885,185091.55,3462.86
2016-07-20,ETHBTC,0.01737,0.01963,0.01716,0.01868,547895.71,10141.35
2016-07-19,ETHBTC,0.0163,0.01801,0.01627,0.01737,181073.16,3108.22
2016-07-18,ETHBTC,0.0165,0.01713,0.01621,0.0163,130365.74,2178.61
2016-07-17,ETHBTC,0.01753,0.01768,0.01617,0.0165,172286.51,2902.74
2016-07-16,ETHBTC,0.01789,0.01815,0.01741,0.01753,93329.75,1655.03
2016-07-15,ETHBTC,0.01751,0.0189,0.01735,0.01789,251001.22,4565.33
2016-07-14,ETHBTC,0.01579,0.0178,0.01578,0.01751,223728.88,3785.4
