Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2018-10-26,LTCUSD,51.61,52.27,51.1,51.61,4439.33,229230.4
2018-10-25,LTCUSD,51.91,51.99,51.53,51.61,2057.69,106483.46
2018-10-24,LTCUSD,52.07,52.57,51.78,51.91,2329.42,121409.91
2018-10-23,LTCUSD,51.75,52.53,51.29,52.07,4515.63,234030.42
2018-10-22,LTCUSD,52.25,52.55,51.5,51.75,4231.6,219815.71
2018-10-21,LTCUSD,52.86,53.26,52.15,52.25,2125.93,112197.08
2018-10-20,LTCUSD,52.49,52.98,52,52.86,2069.46,108762.44
2018-10-19,LTCUSD,51.76,53.12,51.48,52.49,3823.93,200430.46
2018-10-18,LTCUSD,52.93,53.33,50.95,51.76,6979.61,363360.08
2018-10-17,LTCUSD,53.1,53.22,52.3,52.93,4907.8,258614.61
2018-10-16,LTCUSD,53.49,53.49,53.45,53.45,0.0,0.0
2018-10-15,LTCUSD,51.14,58.09,50.86,53.49,36879.39,1981009.92
2018-10-14,LTCUSD,52.84,53.35,50.85,51.14,5049.28,262989.22
2018-10-13,LTCUSD,52.84,53.88,52.42,52.84,5264.67,279181.29
2018-10-12,LTCUSD,50.62,53.22,49.82,52.84,11398.62,590723.59
2018-10-11,LTCUSD,57.58,57.58,49.82,50.62,20738.93,1078579.96
2018-10-10,LTCUSD,58.48,58.52,56.67,57.58,8218.84,471041.05
2018-10-09,LTCUSD,59.15,59.25,57.69,58.48,3875.02,226750.46
2018-10-08,LTCUSD,57.95,59.68,57.37,59.15,4859.83,286218.5
2018-10-07,LTCUSD,57.61,58.3,56.6,57.95,3776.58,217343.56
2018-10-06,LTCUSD,58.55,58.73,56.75,57.61,3697.8,212378.67
2018-10-05,LTCUSD,57.97,59.22,57.28,58.55,4495.12,260352.5
2018-10-04,LTCUSD,57.23,58.84,56.52,57.97,8980.13,522135.73
2018-10-03,LTCUSD,59.15,59.2,56.5,57.23,8565.04,493238.74
2018-10-02,LTCUSD,60.29,61.46,58.67,59.15,4743.11,285063.21
2018-10-01,LTCUSD,60.96,61.82,59.08,60.29,9359.32,563314.62
2018-09-30,LTCUSD,61.48,62.77,59.7,60.96,9693.75,590469.95
2018-09-29,LTCUSD,61.8,62.07,58.81,61.48,8233.96,499780.67
2018-09-28,LTCUSD,63.26,64.79,60.05,61.8,16844.86,1049013.86
2018-09-27,LTCUSD,57.17,65.48,56.66,63.26,24812.19,1540422.78
2018-09-26,LTCUSD,57.55,59.79,56.26,57.17,13633.78,793718.62
2018-09-25,LTCUSD,57.93,58.02,54.35,57.55,10676.95,599040.19
2018-09-24,LTCUSD,61.39,61.5,57.14,57.93,11893.88,698141.82
2018-09-23,LTCUSD,60.54,63.81,59.88,61.39,10417.44,645290.21
2018-09-22,LTCUSD,61,61.74,58.05,60.54,9261.84,558230.48
2018-09-21,LTCUSD,56.54,63,56.3,61,27113.49,1592258.9
2018-09-20,LTCUSD,54.2,57.35,53.36,56.54,8532.04,466293.96
2018-09-19,LTCUSD,54.34,55.03,51.54,54.2,8615.36,462090.5
2018-09-18,LTCUSD,52.19,55.38,50.51,54.34,10072.25,526585.47
2018-09-17,LTCUSD,56.71,57.91,51.31,52.19,12048.18,654892.97
2018-09-16,LTCUSD,56.28,57.42,54.28,56.71,4459.45,250123.76
2018-09-15,LTCUSD,56.57,58.72,55.72,56.28,4437.57,254626.87
2018-09-14,LTCUSD,54.61,58.92,52.88,56.57,12537.76,699529.43
2018-09-13,LTCUSD,51.71,55.28,51.7,54.61,13194.99,710063.09
2018-09-12,LTCUSD,51.9,52,47.04,51.71,14795.89,734683.91
2018-09-11,LTCUSD,54.29,54.71,50,51.9,10186.91,537222.95
2018-09-10,LTCUSD,54.54,56.39,53.05,54.29,6143.9,333794.9
2018-09-09,LTCUSD,53.09,56.59,52.06,54.54,5855.23,318232.33
2018-09-08,LTCUSD,55.67,57.15,51.9,53.09,4915.0,263090.15
2018-09-07,LTCUSD,57.42,58.27,55.06,55.67,4537.82,256171.3
2018-09-06,LTCUSD,57.58,57.64,53.9,57.42,13786.26,766013.23
2018-09-05,LTCUSD,67.6,68.09,57.4,57.58,19261.04,1199732.87
2018-09-04,LTCUSD,65.23,69.27,65.23,67.6,7486.03,504955.07
2018-09-03,LTCUSD,66.29,66.36,64.34,65.23,5354.63,348280.27
2018-09-02,LTCUSD,66.44,67,64.15,66.29,5269.88,345751.63
2018-09-01,LTCUSD,62.16,67.72,62.07,66.44,10468.46,674888.25
2018-08-31,LTCUSD,60.12,62.61,59.44,62.16,5894.65,358117.59
2018-08-30,LTCUSD,61.5,61.6,58.61,60.12,5305.74,318079.55
2018-08-29,LTCUSD,63.14,63.35,60.27,61.5,7444.0,460587.25
2018-08-28,LTCUSD,60.5,63.7,59.75,63.14,7640.08,469333.7
2018-08-27,LTCUSD,57.02,61.02,56.6,60.5,7095.0,415983.12
2018-08-26,LTCUSD,57.94,58,55.92,57.02,3408.94,193089.5
2018-08-25,LTCUSD,57.94,58.37,57.06,57.94,1863.31,107860.75
2018-08-24,LTCUSD,57.26,58.21,55.64,57.94,4135.34,236575.8
2018-08-23,LTCUSD,55.18,57.81,54.9,57.26,4836.79,270682.38
2018-08-22,LTCUSD,56.4,59.26,53.88,55.18,17022.81,956913.27
2018-08-21,LTCUSD,53.41,56.71,53.26,56.4,5841.97,321598.38
2018-08-20,LTCUSD,57.86,58.63,53.21,53.41,14468.54,802025.74
2018-08-19,LTCUSD,57.19,58.91,56.33,57.86,3100.63,178397.39
2018-08-18,LTCUSD,61.9,62.22,55.35,57.19,6041.29,351004.2
2018-08-17,LTCUSD,55.32,61.9,55.02,61.9,10362.17,604337.81
2018-08-16,LTCUSD,54.32,57.61,54.13,55.32,9340.02,520728.16
2018-08-15,LTCUSD,54.35,59.31,53.89,54.32,25973.35,1451733.65
2018-08-14,LTCUSD,56.5,56.5,49.36,54.35,26083.55,1356082.54
2018-08-13,LTCUSD,59.32,60.5,55.66,56.5,6906.45,396041.14
2018-08-12,LTCUSD,55.65,55.65,55.65,55.65,0.0,0.0
2018-08-11,LTCUSD,58.92,59.19,55.12,55.65,6704.23,379354.66
2018-08-10,LTCUSD,63.28,63.28,58.16,58.92,10455.9,639149.67
2018-08-09,LTCUSD,62.09,64.99,60.28,63.28,9982.77,629833.99
2018-08-08,LTCUSD,67.35,67.47,61,62.09,19535.16,1261960.05
2018-08-07,LTCUSD,73.57,75,66.79,67.35,10439.27,740561.73
2018-08-06,LTCUSD,74.56,76.73,72.38,73.57,4335.56,323409.07
2018-08-05,LTCUSD,73.05,74.67,72.26,74.56,2391.77,175953.31
2018-08-04,LTCUSD,77.68,78,72.14,73.05,4193.35,312315.9
2018-08-03,LTCUSD,76.12,77.98,74.76,77.68,6228.96,473361.93
2018-08-02,LTCUSD,77.48,78.26,75.54,76.12,4119.04,315084.58
2018-08-01,LTCUSD,78.75,78.92,75.57,77.48,6127.45,473643.65
2018-07-31,LTCUSD,82.27,82.44,76.15,78.75,9045.85,708942.25
2018-07-30,LTCUSD,83.92,84.59,79.73,82.27,7735.39,631366.74
2018-07-29,LTCUSD,84.21,85.09,83.34,83.92,2456.09,206566.91
2018-07-28,LTCUSD,84.2,84.54,82.43,84.21,2821.6,235763.22
2018-07-27,LTCUSD,83.56,84.96,81.38,84.2,6333.02,527325.8
2018-07-26,LTCUSD,86.22,87.89,82.78,83.56,5589.27,479690.8
2018-07-25,LTCUSD,89.24,90.57,84.81,86.22,7306.36,636683.27
2018-07-24,LTCUSD,81.52,89.61,80.94,89.24,15410.64,1320476.1
2018-07-23,LTCUSD,82.33,85.71,81.27,81.52,7054.03,590857.9
2018-07-22,LTCUSD,83.49,83.99,81.55,82.33,5196.93,432177.93
2018-07-21,LTCUSD,81.63,84.61,79.28,83.49,8789.89,727672.82
2018-07-20,LTCUSD,86.1,86.58,81.1,81.63,10957.51,918648.59
