date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-04-29,32046,1373,9579960,6977.39257101238,0.54206101,24038538.1931271133069494722,44346554.27361740811077794536,19688.3787549786,1.4302194140203,0.0003303254846025265747258066992,1,0.000230961404498064,18175.22831337,4.19777625832891408615031568,13730000,4.81498301299682,3171.10008375841872,13730000,3171.10008375841872,41.71701286,44.14029066840505,5.053749853886601E-7,0.000230961404498064,123.68034493781504,0.22452767988452388,104080325651.67663248,12708,39614,2494913190.23696433,576228.6545178748175369027221,568383.028277326,131.2745425037940389216220969,27.592,0.006372687072910581888,22515925282.17799841,5200309.72674529850042607024,0.064619296171951,0.02558296081216885,0.0401333597818754
2016-04-30,33949,1381,8747980,6334.52570601014,0.53097782,23545699.12799610595883955473,44344034.9475497741308706146,20781.6350224545,1.42884606099283,0.0003231995658711986362840723425,1,0.000226196211540538,16737.50275847,3.78595971461521842322785686,13810000,4.84239574923528,3123.76968137482978,13810000,3123.76968137482978,94.47480334,44.154169192019594,5.027694330800711E-7,0.000226196211540538,133.28399362861833,-2.0610599810769137,104094135651.67663247,11714,47248,1101819024.50308325,249227.2891458886408344133638,483949.15893377,109.4674663290484844172121683,15.9525,0.003608395064600432445,22865629861.30274529,5172118.849114878342464959524,0.0645489558510563,0.025861405984743423,0.04020533741059315
2016-05-01,60455,1368,14524552,10617.3625730994,0.53923246,23916350.55845579566328927626,44352579.20693680298547950979,20097.7254717347,1.93385471050418,0.0004442581654031097590709740459,1,0.000229726754026566,29611.18332724,6.80248102865241567523145784,13680000,4.79618169754538,3142.66199508342288,13680000,3142.66199508342288,67.24031778,45.13743392417947,5.048820572764469E-7,0.000229726754026566,132.88361752725388,2.9284963154032084,104107815651.67663246,15312,82612,1548294521.65133373,355684.6747360756098258017519,159572.307599623,36.65802825739012133743358462,50.575,0.01161843058489357545,13182587475.42009067,3028393.030399520834876795309,0.06453547586415374,0.02522471362026248,0.040076636830458874
2016-05-02,37583,1367,10349578,7571.0153621068,0.53434327,23691847.80140607874712600089,44338254.59363762264816564289,18590.5020451917,1.45609439804128,0.0003313203480238519321773025856,1,0.00022754043176702,20175.64397926,4.5907747422184979060320052,13670000,4.79204649143388,3110.4777022551634,13670000,3110.4777022551634,56.65713955,44.76153276010977,5.114037405026298E-7,0.00022754043176702,148.26218420975007,0.8852663255432673,104121485651.67663246,13856,53990,1837746954.52909117,418161.7355120754759229977792,232211.454772576,52.83749468019978005991724352,13.707441175,0.0031189970833805279550485,12537096443.17139845,2852696.337783990724027057989,0.06432008493849621,0.02522924344381802,0.03998158994611605
2016-05-03,27422,1381,9238662,6689.83490224475,0.53687566,23805598.63457390783146757791,44340990.8718262646387830823,19166.572927796,1.41101504520639,0.0003225616984454939816552474637,1,0.000228602593247553,19074.1013811,4.3603890395861922114954483,13810000,4.84048176793057,3157.00181274870693,13810000,3157.00181274870693,40.2978514,45.090173203058555,5.061735827001755E-7,0.000228602593247553,172.32678669873548,4.101581135218954,104135295651.6766325,13518,43859,2584140147.5283294,590741.139040090287739214728,315035.815081745,72.01800429354347509571621998,9.24799999,0.00211411678006734421152447,13817155813.67024223,3158637.650310520593857611865,0.0642903205280952,0.02471566590877181,0.03959575905865444
2016-05-04,26388,1371,21188618,15454.8636032093,0.53308566,23637102.91863043530765196747,44340158.78091533304091584328,17919.2311381581,2.07483940357007,0.0004708944863654203906676598317,1,0.000226954667216738,31697.32156834,7.19385506820453652485887492,13710000,4.80479863315857,3111.54848754147798,13710000,3111.54848754147798,55.60596742,44.89639111855637,5.061794856808883E-7,0.000226954667216738,153.96949440700618,3.6290471896948127,104149005651.6766325,15277,49400,1872982531.88795024,425082.1272273931160281006391,427355.439292508,96.9903115078940319362155989,10.226,0.002320838426958362788,21111358701.04987378,4791321.388489960316280078803,0.06427575152901643,0.02475514114764649,0.038557440112276985
2016-05-05,42360,1364,11024838,8082.72580645161,0.5216973,23128381.6801793815279206809,44332952.36060284620251390057,17921.2154136593,1.47997244716502,0.0003286146143853320058649960131,1,0.000222041035300903,20411.7799913,4.5322527616025088302221439,13640000,4.77964050245863,3028.63972150431692,13640000,3028.63972150431692,35.56572204,44.2749666234793,4.941535943892457E-7,0.000222041035300903,154.4014946712135,3.111245258214335,104162645651.67663249,13792,62041,2928736988.59086891,650299.7930707654704036800776,206538.952244098,45.86012278624328290853582049,17.175,0.003813554781293009025,12813883136.17606547,2845207.877781315396511348078,0.06416826576792231,0.024897689471412868,0.03866427415288399
2016-05-06,36032,1378,9635889,6992.66255442671,0.52854144,23433436.97121609320188950117,44336044.84523051136702340751,17827.7021018194,1.38494479282951,0.0003115293724887165220285424182,1,0.000224939921144616,18903.11147733,4.25206440509849586033555528,13780000,4.82805967716464,3099.67211337280848,13780000,3099.67211337280848,49.55912918,44.98724843801833,4.872057860900069E-7,0.000224939921144616,178.16759477574993,4.248717685830164,104176425651.67663249,13649,54731,2102063280.13146386,472837.9484737643336022468376,311396.484287405,70.04550062031953596671236148,12.6225,0.00283930415464791546,17043040981.53393846,3833660.294450702990596773704,0.06416517497130064,0.024992952402604213,0.03793373315120918
2016-05-07,28753,1378,10579445,7677.39114658926,0.52476004,23292016.40817989981769260567,44386033.21767559612025378539,17891.4371436299,1.59168734757609,0.0003558262274707204378437542162,1,0.000223552840331735,21545.07993679,4.81646381504368207643103065,13780000,4.82742112710194,3080.5581397713083,13780000,3080.5581397713083,110.02761456,45.04379016141352,4.845499123319696E-7,0.000223552840331735,152.79053491835703,5.904993997553996,104190205651.67663245,13536,47615,946945965.08921273,211692.460136369478884523185,997397.580444892,222.9710620484557564421662476,18.48,0.0041312564893304628,47491085792.88351202,10616767.11943721624674734866,0.06416873029708028,0.02464877683254289,0.037309416786455205
2016-05-08,20942,1368,7397605,5407.60599415205,0.52669559,23379588.15579362423013447941,44389185.16584142521043671957,17891.9669812292,1.31730061600376,0.0002955546780903137642312096353,1,0.000224363880574903,16096.09622695,3.61138261158555657516223585,13680000,4.79175989337943,3069.29788626467304,13680000,3069.29788626467304,60.4003165,45.560490215073266,4.862898889538283E-7,0.000224363880574903,144.24530142758866,6.668723901790609,104203885651.67663243,12219,27776,1725220854.54779458,387077.2457750934823538611474,1076001.58951057,241.4158921273553280259952247,100.197596935,0.022480721672616606870722305,29887020150.24556618,6705567.819729415726378205134,0.06357481437711204,0.024628627990252533,0.037168980443612644
