date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-09-09,4842,23690,27601537790.12378107060118437,0.00154619949066805,0.0004268096575937009855996093142,0.000012,0.00000331245477833622,666.648549,184.020264300496474762065,892.42636088,238.11971603372567,0.00004417139035434393,0.276037898194685,28.931882202889582,-13.305157500931964,99991841593.638238,431153,9488,112044921.54939,30928644.64788198433406299215,12010.4038903815,3315.326646370177159485922328,715.3745,197.4704734020736845325,113954712.11194,31455819.2207603314296330389,0.05488073574012502,0.06547026183120244,0.05606180565231133
2018-09-10,5766,23435,26681630478.43466044127638523,0.00183557995485193,0.0004898026250040468958556900191,0.000014,0.000003735733075495372,862.739099,230.211641975526872710702,277.70788242,230.28086950434076,0.00004238627567996318,0.266838076821098,22.114242042192707,-11.907734600638651,99991840730.899139,470009,13155,360061226.414963,96078045.19441465741806128937,27602.2020426783,7365.318509095660351789866773,1000,266.838076821098,363106967.871433,96890764.98715340218820589343,0.05421377870438617,0.06515452895783444,0.055993200185018306
2018-09-11,6130,23246,26287825522.76443851697360948,0.00152054351642422,0.000399750446599303139957852021,0.000012,0.0000031547964970266,822.845165,216.32575367810622386575,411.25226505,226.98128583793215,0.0000418735149616713,0.26289970808555,22.18343346634223,-11.052021306656439,99991839908.053974,541152,13036,243139912.906575,63921412.12708461832925749125,18796.5080118806,4941.59646935111153128118533,999.9,262.873418114741445,245031278.442875,64418651.57446095805128795625,0.054218413281190266,0.06507447369532957,0.055935016647730124
2018-09-12,5933,23809,26946642255.39674428787693016,0.00174702929289041,0.000470804155336679234645378637,0.00002,0.000005389768302714,771.563258,207.9273595753572041106,589.54599195,246.6859156491736,0.000042589785291696025,0.2694884151357,28.551698131180746,-2.440834089654857,99991839136.490716,441643,12150,169608207.845083,45707447.1261778170180227631,14111.9828596776,3803.01589527667990906225032,972.830147,262.1664545112600559479,171460591.745083,46206643.1276117040132527631,0.05426438011939668,0.0641330401742014,0.05607334983524019
2018-09-13,5658,23991,28056603068.82501569904325304,0.00175093953749603,0.0004912942533865431955649035154,0.00002,0.0000056117786235969,717.02725,201.18990970432351577625,648.59547926,257.2968569237845,0.00004322796511476198,0.280588931179845,41.01371018647625,4.063023649809825,99991838419.463466,409510,12145,154166721.19436,43257475.5234266296023596742,12738.6844342001,3574.333850029534601161816984,711.32997,199.59131599849120845465,154711322.45336,43410284.6086086375447845292,0.0540533917521862,0.06440467338802067,0.05633403078519226
2018-09-14,5693,23641,27722532004.64938789607564905,0.00129501559769815,0.0003590404190867390877807127722,0.00002,0.0000055449589908403,606.256372,168.08333603378107546958,699.60028803,254.14452641974808,0.00004268836782882158,0.277247949542015,61.148202972626855,-1.046157161519962,99991837813.207094,468146,11106,142927096.405665,39626244.41246452338940151498,12901.7455292669,3576.982493502107101633698804,604.625,167.631041491840819375,143286785.848038,39725967.57283434840548631657,0.053983136569921354,0.06406131614269799,0.05532410256853531
2018-09-15,5420,23805,28169030453.33377354511462384,0.00113717224148201,0.0003203565445712128405932801688,0.000012,0.000003380559597413784,456.277853,128.539539587208809677146,1630.79129102,258.9112187461089,0.00004317997337041355,0.281713299784482,52.51442579503489,-2.9900599444464,99991837356.929241,401239,9727,61314919.884216,17273228.40660363836919353611,6316.52085508543,1779.447933243614325572698297,354,99.726508123706628,61440798.357416,17308690.04666064285240641851,0.05355038693565271,0.06377683621189917,0.05471902988252149
2018-09-16,4802,24188,28098406948.99151931901678028,0.0012788819180755,0.000359374781792144122335117039,0.000012,0.000003372084099832536,437.843129,123.036987793485494853762,1434.7162364,260.6613489833825,0.00004324911579868818,0.281007008319378,53.167670770456475,-22.07927922470759,99991836919.086112,342364,8785,69694504.308194,19584644.15194759722049438333,7952.49467686966,2234.706737822921807486558271,392.75,110.3655025174357095,69862665.7363,19631898.6917743784479280214,0.05354229187900933,0.048777819188757975,0.05452366132800406
2018-09-17,5958,23678,27173809783.69882409098712296,0.00147674657241094,0.0004013210672301184551571717462,0.000012,0.000003261123402439356,621.057585,168.778785392164128859605,934.31162521,256.466997315239,0.00004342193239337695,0.271760283536613,48.563453824112344,-16.61833718296856,99991836298.028527,420558,12271,107021933.154355,29084310.89866395809822289962,8740.30495340192,2375.267752332968853903224497,667.008538,181.266429408221706601794,107252282.083195,29146910.58887787158969451854,0.053548788949303316,0.045807535840731516,0.05459498011976623
2018-09-18,7725,23407,32082849512.39575880651642821,0.00195655793602317,0.0006277707939685262594287118282,0.000012,0.000003850256304157356,1018.634932,326.833797380658303863316,333.91604663,301.6766366519863,0.000050605219560667716,0.320854692013113,65.22244764475533,-6.355792795552048,99991835279.393595,520626,17682,299452021.814014,96080586.23183945761573516558,16974.2652038739,5446.272634137860930957198451,1145.959305,367.686419865336024366465,300138957.334898,96300992.71682556078894851747,0.05499028977864218,0.05473699900946619,0.05852542684222711
2018-09-19,7369,23257,32542311334.90052367342971273,0.0016955717565263,0.000551823299596186983573357886,0.000012,0.00000390539625920664,878.923358,286.04533287187820372476,341.3252202,304.16979391641337,0.00005097934548985803,0.32544968826722,75.86513174368366,3.021639423821099,99991834400.470237,518364,16362,292951790.500458,95341068.89569799741463638676,18595.4281201783,6051.876284907524541644445326,991.7535,322.76586741292437027,304258394.902358,99020799.77365712985011210476,0.054969139011357214,0.052721858409341384,0.05845686945195249
2018-09-20,10646,23121,45682712110.58746916999323934,0.00265127667719546,0.001211274018333726701412238495,0.000012,0.000005482373207227944,1556.198661,710.971820349200164548582,172.53992559,418.804545125276,0.00007030190102723632,0.456864433935662,150.97592996653205,36.67615634867374,99991832844.271576,586962,25231,579528665.615072,264766035.7657194158609054977,23018.7530210388,10516.44956886170092217160569,1000,456.864433935662,580786157.473831,265340539.0719500498271026611,0.06061910847358927,0.08077925444143505,0.07345614104252601
2018-09-21,16677,22484,56308400335.6546629918993914,0.00349992302937841,0.001970911696395461891369907372,0.000026,0.000014641380303549974,2950.197119,1661.344538066018414127881,100.19341654,490.0443286402861,0.00008353628162485069,0.563130011674999,229.14701004334827,76.5610377697202,99991829894.074457,842932,47671,997988025.07433,561997008.2116166476547776757,21178.8814499199,11926.46375815681303593338258,979.95,551.83925494091527005,1009618457.599131,568546453.8150931228813968259,0.06262452459250206,0.08773882543601012,0.0782346666684649
2018-09-22,10090,22740,56994692597.66882168028078643,0.00243819242670858,0.001389753851966113741330008561,0.000028,0.000015959818195146168,2091.169375,1191.95296572348000607875,212.42010533,486.8880693894379,0.00008500418204798861,0.569993506969506,229.84520561673648,74.84853972337075,99991827802.905082,857672,25842,470726759.340819,268311196.3810640882628940654,18239.500113807,10396.39663523955573467856934,908,517.554104328311448,471345161.941001,268663681.8478608877122781155,0.06243687970943979,0.0877457191214117,0.07817567492586937
2018-09-23,8401,23355,57226296019.06815062016188269,0.00231314673626016,0.001323836405983672306769253413,0.000032,0.00001831391166302256,1572.377686,899.88706382224452058113,387.14589155,484.45140826798024,0.00008537939062244724,0.572309739469455,220.0997434093905,75.2023383778312,99991826230.527396,679757,17635,258279445.587959,147815842.2147600939611962923,15231.2170502347,8716.973861822542046061231088,550,314.77035670820025,268602512.680889,153723834.0532405664685777455,0.062384692249998805,0.08773331469896836,0.0781752494801006
2018-09-24,8399,23091,49167196479.76389803522939003,0.00286238272472963,0.001407468408367106882052229935,0.00003,0.00001475136496814958,1909.340947,938.846171927644797161742,350.8761293,413.754987553305,0.00007476755125444222,0.491712165604986,178.93642247588483,49.96339637492138,99991824321.186449,667046,18468,284977563.22044,140126934.7599543607150811138,15678.3147172807,7709.21808267061681726428157,700.8741675,344.628354718016696599155,289547116.19874,142373839.5507609673127109176,0.06340224060454454,0.09307962091554292,0.08062170331271391
2018-09-25,8857,22895,53022354869.71643406291153928,0.00208969819110109,0.001108097803685993925000065279,0.000029,0.000015377740404685687,1676.472912,888.978111593912832055536,184.71251101,436.6349089420582,0.000082641866541544,0.530266910506403,187.99347725192686,64.51823316935025,99991822644.713537,802256,21684,541337574.254406,287053403.0409143951206139616,25557.3011993147,13552.19114784219408581356202,1007.999988,534.509039427251297923164,554184519.205939,293865712.8498096302579351274,0.06300290813213176,0.09356293497635336,0.08117316451531173
2018-09-26,9232,23139,51756381183.19789194798236761,0.00206735246087479,0.001070074338271894690965147013,0.000021,0.000010869729051523734,1349.51807,698.51884623977333651778,163.57772656,416.19155373746116,0.00008008449510561112,0.517606145310654,171.46808977671472,53.27678860482883,99991821295.195467,652776,22927,611280174.845103,316402375.0063963673942656274,26679.038781245,13809.23442415367286407388423,1000,517.606145310654,611670322.137603,316604317.6425706806237699224,0.0630130682816828,0.09367225141908792,0.08124553074752125
2018-09-27,8113,23350,54201344185.24142673553298043,0.0016454534335627,0.0008919308360445369704642258537,0.000024,0.000013009386730999944,977.789312,530.018304218598513158272,115.93800827,420.8398715888143,0.00008117188649088646,0.542057780458331,157.64273706031253,53.66934604676433,99991820317.406155,594237,17788,862459359.167498,467502805.9658484745810385258,48517.0825195648,26299.06206486898500241865435,735.488175,398.677087693848530735925,863021863.858018,467807716.009889146163949248,0.06310429341728083,0.09370106024242046,0.08144278132217386
