Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BTC
2019-07-01,XRPBTC,3.651e-05,3.887e-05,3.614e-05,3.827e-05,8143700.84,307.81
2019-06-30,XRPBTC,3.58e-05,3.673e-05,3.483e-05,3.651e-05,6333218.61,226.47
2019-06-29,XRPBTC,3.433e-05,3.599e-05,3.392e-05,3.58e-05,6576042.88,231.74
2019-06-28,XRPBTC,3.63e-05,3.691e-05,3.347e-05,3.433e-05,10735724.96,375.12
2019-06-27,XRPBTC,3.565e-05,3.829e-05,3.3e-05,3.63e-05,17842170.31,642.19
2019-06-26,XRPBTC,3.963e-05,3.998e-05,3.439e-05,3.565e-05,33195542.39,1237.26
2019-06-25,XRPBTC,4.285e-05,4.295e-05,3.906e-05,3.963e-05,13245190.31,542.35
2019-06-24,XRPBTC,4.309e-05,4.324e-05,4.18e-05,4.285e-05,6089564.86,259.09
2019-06-23,XRPBTC,4.441e-05,4.503e-05,4.276e-05,4.309e-05,7986476.48,351.09
2019-06-22,XRPBTC,4.341e-05,4.606e-05,4.126e-05,4.441e-05,20885970.95,907.4
2019-06-21,XRPBTC,4.509e-05,4.591e-05,4.332e-05,4.341e-05,7092901.96,317.77
2019-06-20,XRPBTC,4.685e-05,4.696e-05,4.38e-05,4.509e-05,8729096.2,398.52
2019-06-19,XRPBTC,4.704e-05,4.808e-05,4.666e-05,4.685e-05,5198649.73,245.24
2019-06-18,XRPBTC,4.8e-05,4.894e-05,4.665e-05,4.704e-05,7498812.19,357.2
2019-06-17,XRPBTC,4.764e-05,5.017e-05,4.59e-05,4.8e-05,13447915.17,644.7
2019-06-16,XRPBTC,4.641e-05,4.832e-05,4.512e-05,4.764e-05,10964314.21,508.44
2019-06-15,XRPBTC,4.646e-05,4.754e-05,4.634e-05,4.641e-05,5192379.71,243.11
2019-06-14,XRPBTC,4.853e-05,5.001e-05,4.611e-05,4.646e-05,11304167.75,542.15
2019-06-13,XRPBTC,4.924e-05,5.03e-05,4.825e-05,4.853e-05,5112501.99,251.48
2019-06-12,XRPBTC,4.972e-05,4.989e-05,4.871e-05,4.924e-05,3487377.81,171.94
2019-06-11,XRPBTC,5.008e-05,5.017e-05,4.915e-05,4.972e-05,3895366.34,193.64
2019-06-10,XRPBTC,5.048e-05,5.09e-05,4.961e-05,5.008e-05,3517575.64,176.67
2019-06-09,XRPBTC,5.154e-05,5.2e-05,4.818e-05,5.048e-05,7356110.07,368.11
2019-06-08,XRPBTC,5.25e-05,5.279e-05,5.141e-05,5.154e-05,5700428.29,297.16
2019-06-07,XRPBTC,5.38e-05,5.427e-05,5.24e-05,5.25e-05,5274820.91,281.0
2019-06-06,XRPBTC,5.149e-05,5.49e-05,5.116e-05,5.38e-05,6808787.57,364.63
2019-06-05,XRPBTC,5.184e-05,5.202e-05,5.071e-05,5.149e-05,2488268.88,127.63
2019-06-04,XRPBTC,5.135e-05,5.219e-05,5.042e-05,5.184e-05,5698463.8,293.09
2019-06-03,XRPBTC,5.088e-05,5.35e-05,5.075e-05,5.135e-05,7767440.24,404.2
2019-06-02,XRPBTC,5.016e-05,5.115e-05,5.009e-05,5.088e-05,2627896.47,133.26
2019-06-01,XRPBTC,5.126e-05,5.15e-05,4.94e-05,5.016e-05,2832241.48,143.43
2019-05-31,XRPBTC,5.061e-05,5.143e-05,5.0e-05,5.126e-05,5577213.46,282.88
2019-05-30,XRPBTC,5.117e-05,5.394e-05,4.959e-05,5.061e-05,16941764.41,879.73
2019-05-29,XRPBTC,5.158e-05,5.302e-05,4.974e-05,5.117e-05,9652507.84,495.57
2019-05-28,XRPBTC,4.962e-05,5.321e-05,4.814e-05,5.158e-05,14663539.39,737.87
2019-05-27,XRPBTC,4.69e-05,5.061e-05,4.652e-05,4.962e-05,9174686.09,440.89
2019-05-26,XRPBTC,4.798e-05,4.812e-05,4.602e-05,4.69e-05,5221526.18,246.37
2019-05-25,XRPBTC,4.802e-05,4.868e-05,4.758e-05,4.798e-05,2022900.65,97.33
2019-05-24,XRPBTC,4.83e-05,4.932e-05,4.764e-05,4.802e-05,3506902.67,170.23
2019-05-23,XRPBTC,4.866e-05,4.907e-05,4.776e-05,4.83e-05,2597298.98,125.45
2019-05-22,XRPBTC,5.0e-05,5.139e-05,4.809e-05,4.866e-05,6894002.63,340.55
2019-05-21,XRPBTC,4.993e-05,5.16e-05,4.926e-05,5.0e-05,4241117.24,211.71
2019-05-20,XRPBTC,5.11e-05,5.111e-05,4.952e-05,4.993e-05,4683705.85,235.51
