Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume USD
2018-12-17,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-16,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-15,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-14,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-13,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-12,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-11,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-10,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-09,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-08,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-07,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-06,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-05,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-04,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-03,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-02,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-12-01,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-30,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-29,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-28,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-27,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-26,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-25,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-24,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-23,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-22,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-21,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-20,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-19,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-18,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-17,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-16,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-15,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-14,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-13,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-12,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-11,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-10,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-09,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-08,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-07,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-06,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-05,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-04,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-03,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-02,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-11-01,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-10-31,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2018-10-30,XMRUSD,101.88,103.65,101.88,102.71,200.32,20567.65
2018-10-28,XMRUSD,104.75,104.78,102.6,104.13,410.08,42409.18
2018-10-27,XMRUSD,106.01,106.5,104.28,104.75,1576.35,166190.26
2018-10-26,XMRUSD,107.52,107.7,105.56,106.01,559.48,59739.56
2018-10-25,XMRUSD,108.34,108.53,106.5,107.52,234.67,25138.04
2018-10-24,XMRUSD,110.99,111.36,107.85,108.34,549.05,60285.27
2018-10-23,XMRUSD,107.9,112,107.4,110.99,954.67,104973.06
2018-10-22,XMRUSD,106.95,108.5,106,107.9,494.67,53069.74
2018-10-21,XMRUSD,105.97,109.08,105.97,106.95,243.04,26054.26
2018-10-20,XMRUSD,105.02,107.84,104.77,105.97,535.31,57096.67
2018-10-19,XMRUSD,105.86,107.41,105,105.02,192.03,20360.75
2018-10-18,XMRUSD,109.8,110.34,104.35,105.86,886.51,94884.32
2018-10-17,XMRUSD,111.03,111.06,108.03,109.8,1976.79,216391.88
2018-10-16,XMRUSD,109.74,109.74,109.7,109.7,0.0,0.0
2018-10-15,XMRUSD,101.43,119.7,100.77,109.74,4986.57,548975.04
2018-10-14,XMRUSD,104,105.5,101.43,101.43,740.6,77066.68
2018-10-13,XMRUSD,102.35,104.3,102.3,104,182.73,18923.94
2018-10-12,XMRUSD,100.6,105,100.12,102.35,1848.24,188333.7
2018-10-11,XMRUSD,114.73,114.73,100.6,100.6,4772.84,500360.07
2018-10-10,XMRUSD,113.46,115.35,111.67,114.73,908.77,103280.96
2018-10-09,XMRUSD,114.48,114.81,113.1,113.46,874.31,99594.79
2018-10-08,XMRUSD,114.05,115.65,112.88,114.48,800.9,92032.51
2018-10-07,XMRUSD,115.34,115.34,112.5,114.05,605.07,68831.1
2018-10-06,XMRUSD,115.36,115.74,113.3,115.34,256.32,29340.92
2018-10-05,XMRUSD,114.79,115.58,113.93,115.36,623.95,71594.03
2018-10-04,XMRUSD,114.56,116.45,113.07,114.79,2231.51,255445.23
2018-10-03,XMRUSD,116.43,117.5,111.65,114.56,883.92,100753.33
2018-10-02,XMRUSD,114.81,120.37,112.67,116.43,1346.54,156138.33
2018-10-01,XMRUSD,115.95,118.28,112.33,114.81,1746.73,202275.75
2018-09-30,XMRUSD,114.08,117.1,113.63,115.95,1289.62,148200.4
