Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume BTC
2018-10-21,XMRBTC,0.01603,0.01637,0.01602,0.01622,8921.69,144.46
2018-10-20,XMRBTC,0.01609,0.01629,0.01601,0.01603,6697.35,108.09
2018-10-19,XMRBTC,0.01592,0.01625,0.01588,0.01609,12798.72,206.01
2018-10-18,XMRBTC,0.01625,0.01639,0.01582,0.01592,6732.9,108.56
2018-10-17,XMRBTC,0.01645,0.01645,0.01606,0.01625,8178.88,132.63
2018-10-16,XMRBTC,0.01633,0.01633,0.01619,0.01619,0.0,0.0
2018-10-15,XMRBTC,0.01596,0.01636,0.01566,0.01633,20210.72,322.96
2018-10-14,XMRBTC,0.01641,0.01645,0.01594,0.01596,10137.88,164.6
2018-10-13,XMRBTC,0.01611,0.01648,0.01609,0.01641,6380.35,104.34
2018-10-12,XMRBTC,0.01611,0.01656,0.01601,0.01611,9854.23,159.91
2018-10-11,XMRBTC,0.01736,0.01738,0.016,0.01611,25868.09,427.52
2018-10-10,XMRBTC,0.01705,0.0174,0.01699,0.01736,6118.19,104.75
2018-10-09,XMRBTC,0.01715,0.01721,0.017,0.01705,6396.57,109.46
2018-10-08,XMRBTC,0.01717,0.01735,0.0171,0.01715,5628.93,96.83
2018-10-07,XMRBTC,0.01741,0.01749,0.0171,0.01717,4860.64,83.72
2018-10-06,XMRBTC,0.0174,0.0175,0.01718,0.01741,6075.91,105.28
2018-10-05,XMRBTC,0.01744,0.01749,0.01724,0.0174,6517.09,112.94
2018-10-04,XMRBTC,0.01761,0.01767,0.01722,0.01744,10850.3,188.55
2018-10-03,XMRBTC,0.01785,0.018,0.01733,0.01761,10570.62,185.05
2018-10-02,XMRBTC,0.01739,0.0183,0.01716,0.01785,7020.88,123.65
2018-10-01,XMRBTC,0.01747,0.01763,0.01722,0.01739,5075.91,88.52
2018-09-30,XMRBTC,0.01736,0.01763,0.0173,0.01747,2618.92,45.79
2018-09-29,XMRBTC,0.01759,0.01781,0.01721,0.01736,4873.63,85.5
2018-09-28,XMRBTC,0.01781,0.01808,0.01744,0.01759,5622.2,99.5
2018-09-27,XMRBTC,0.01779,0.0181,0.01747,0.01781,6843.02,122.08
2018-09-26,XMRBTC,0.01804,0.01815,0.01735,0.01779,8766.32,155.21
2018-09-25,XMRBTC,0.01747,0.01804,0.01724,0.01804,6804.28,119.79
2018-09-24,XMRBTC,0.01819,0.01836,0.01724,0.01747,6841.01,121.16
2018-09-23,XMRBTC,0.01818,0.01895,0.018,0.01819,14914.34,276.68
2018-09-22,XMRBTC,0.01832,0.01847,0.01784,0.01818,6323.64,115.0
2018-09-21,XMRBTC,0.01784,0.0184,0.01768,0.01832,15310.82,275.61
2018-09-20,XMRBTC,0.01713,0.01787,0.0171,0.01784,11841.14,207.21
2018-09-19,XMRBTC,0.01762,0.01776,0.01701,0.01713,9445.21,163.63
2018-09-18,XMRBTC,0.01693,0.01779,0.01663,0.01762,12274.99,212.95
2018-09-17,XMRBTC,0.01796,0.01848,0.01691,0.01693,26527.66,472.05
2018-09-16,XMRBTC,0.01822,0.01827,0.01753,0.01796,10507.92,188.39
2018-09-15,XMRBTC,0.01793,0.01878,0.01789,0.01822,15373.17,282.45
2018-09-14,XMRBTC,0.01726,0.01803,0.017,0.01793,14321.04,251.44
2018-09-13,XMRBTC,0.01642,0.01784,0.01632,0.01726,16673.33,286.76
2018-09-12,XMRBTC,0.01669,0.0168,0.0155,0.01642,21424.2,342.92
2018-09-11,XMRBTC,0.01668,0.01717,0.0163,0.01669,10861.23,181.56
2018-09-10,XMRBTC,0.01681,0.01723,0.0165,0.01668,12715.74,214.3
2018-09-09,XMRBTC,0.01678,0.0173,0.01632,0.01681,12762.77,212.55
2018-09-08,XMRBTC,0.0173,0.01767,0.0165,0.01678,11469.06,195.9
2018-09-07,XMRBTC,0.01802,0.01836,0.0173,0.0173,13773.71,244.25
2018-09-06,XMRBTC,0.01717,0.01816,0.01687,0.01802,18803.66,330.87
2018-09-05,XMRBTC,0.01872,0.019,0.01685,0.01717,27158.62,484.03
2018-09-04,XMRBTC,0.01863,0.01922,0.01825,0.01872,21581.44,405.01
2018-09-03,XMRBTC,0.01645,0.0188,0.01636,0.01863,29185.01,520.87
2018-09-02,XMRBTC,0.01679,0.0172,0.01611,0.01645,11792.0,196.11
2018-09-01,XMRBTC,0.01651,0.01746,0.01634,0.01679,19408.98,329.56
2018-08-31,XMRBTC,0.01478,0.01673,0.01478,0.01651,28663.98,453.31
2018-08-30,XMRBTC,0.01469,0.0151,0.0141,0.01478,10129.68,145.9
2018-08-29,XMRBTC,0.01522,0.01536,0.0145,0.01469,13622.34,201.53
2018-08-28,XMRBTC,0.01522,0.01526,0.01455,0.01522,8732.98,130.7
2018-08-27,XMRBTC,0.01412,0.01535,0.01394,0.01522,13134.53,193.39
2018-08-26,XMRBTC,0.0137,0.01415,0.01361,0.01412,5597.83,77.35
2018-08-25,XMRBTC,0.01399,0.01431,0.01366,0.0137,7973.7,110.67
2018-08-24,XMRBTC,0.01375,0.01413,0.01355,0.01399,14401.62,198.74
2018-08-23,XMRBTC,0.01409,0.01417,0.01375,0.01375,9682.44,135.04
2018-08-22,XMRBTC,0.01463,0.01467,0.01396,0.01409,12073.32,171.92
2018-08-21,XMRBTC,0.0148,0.015,0.01432,0.01463,10524.13,154.13
2018-08-20,XMRBTC,0.0152,0.01579,0.01474,0.0148,11710.2,178.73
2018-08-19,XMRBTC,0.01532,0.0155,0.01487,0.0152,5207.8,78.75
2018-08-18,XMRBTC,0.01511,0.01616,0.01495,0.01532,17126.0,265.46
2018-08-17,XMRBTC,0.01437,0.01574,0.01433,0.01511,20348.57,304.34
2018-08-16,XMRBTC,0.0142,0.01446,0.01407,0.01437,11446.85,163.52
2018-08-15,XMRBTC,0.01351,0.01446,0.01351,0.0142,15675.79,221.04
2018-08-14,XMRBTC,0.01397,0.01423,0.01295,0.01351,37707.5,508.04
2018-08-13,XMRBTC,0.01467,0.01509,0.0139,0.01397,20905.76,304.49
2018-08-12,XMRBTC,0.01468,0.01468,0.01468,0.01468,0.0,0.0
2018-08-11,XMRBTC,0.01484,0.0151,0.0145,0.01468,4121.24,60.81
2018-08-10,XMRBTC,0.01528,0.0155,0.01472,0.01484,10130.74,153.47
2018-08-09,XMRBTC,0.01504,0.0159,0.01504,0.01528,12542.8,194.53
2018-08-08,XMRBTC,0.016,0.01613,0.01483,0.01504,27831.98,425.78
2018-08-07,XMRBTC,0.0163,0.01663,0.016,0.016,10371.52,168.87
2018-08-06,XMRBTC,0.01665,0.01688,0.0163,0.0163,7455.42,123.66
2018-08-05,XMRBTC,0.01627,0.0167,0.0161,0.01665,5344.3,87.72
2018-08-04,XMRBTC,0.01619,0.0165,0.01581,0.01627,7278.52,117.56
2018-08-03,XMRBTC,0.01622,0.01629,0.01572,0.01619,10445.67,167.29
2018-08-02,XMRBTC,0.01689,0.01705,0.01596,0.01622,9095.48,150.84
2018-08-01,XMRBTC,0.01573,0.0171,0.01567,0.01689,19830.06,324.52
2018-07-31,XMRBTC,0.01611,0.01655,0.01563,0.01573,19922.77,318.38
2018-07-30,XMRBTC,0.01648,0.0166,0.01607,0.01611,17546.94,285.89
2018-07-29,XMRBTC,0.01699,0.01719,0.01633,0.01648,16331.45,272.73
2018-07-28,XMRBTC,0.01708,0.01736,0.01696,0.01699,8034.72,137.46
2018-07-27,XMRBTC,0.01718,0.01748,0.01704,0.01708,9183.68,158.4
2018-07-26,XMRBTC,0.01756,0.0177,0.01711,0.01718,14763.3,255.39
2018-07-25,XMRBTC,0.01757,0.01776,0.01687,0.01756,15726.94,271.35
2018-07-24,XMRBTC,0.01729,0.01784,0.017,0.01757,19393.46,337.01
2018-07-23,XMRBTC,0.01724,0.01846,0.01716,0.01729,24480.2,434.21
2018-07-22,XMRBTC,0.01781,0.01795,0.0172,0.01724,8798.5,154.58
2018-07-21,XMRBTC,0.01767,0.01787,0.01741,0.01781,9058.91,159.85
2018-07-20,XMRBTC,0.01865,0.0187,0.01655,0.01767,26423.23,475.08
2018-07-19,XMRBTC,0.01891,0.0195,0.01863,0.01865,10631.92,202.16
2018-07-18,XMRBTC,0.01966,0.01998,0.0188,0.01891,12630.0,245.59
2018-07-17,XMRBTC,0.02009,0.021,0.01957,0.01966,17677.5,358.8
2018-07-16,XMRBTC,0.01948,0.02037,0.0192,0.02009,16057.3,315.45
2018-07-15,XMRBTC,0.01966,0.0197,0.0192,0.01948,7899.54,153.97
2018-07-14,XMRBTC,0.01954,0.01975,0.0193,0.01966,7810.98,152.28
2018-07-13,XMRBTC,0.01928,0.01994,0.01907,0.01954,8819.58,173.04
2018-07-12,XMRBTC,0.01954,0.01999,0.01906,0.01928,13175.19,257.45
2018-07-11,XMRBTC,0.01913,0.02031,0.01912,0.01954,16581.0,324.32
2018-07-10,XMRBTC,0.02026,0.02048,0.01913,0.01913,16298.86,319.25
2018-07-09,XMRBTC,0.02053,0.021,0.02022,0.02026,14712.54,302.75
2018-07-08,XMRBTC,0.01985,0.02059,0.01978,0.02053,6296.92,127.38
2018-07-07,XMRBTC,0.02018,0.02035,0.0198,0.01985,6967.18,139.76
2018-07-06,XMRBTC,0.02106,0.02117,0.01995,0.02018,10779.46,220.3
2018-07-05,XMRBTC,0.02114,0.02131,0.02034,0.02106,9613.49,200.99
2018-07-04,XMRBTC,0.02121,0.0219,0.02093,0.02114,15464.83,331.43
2018-07-03,XMRBTC,0.02123,0.02176,0.02079,0.02121,10256.07,217.95
2018-07-02,XMRBTC,0.02049,0.0216,0.0202,0.02123,14940.36,313.51
2018-07-01,XMRBTC,0.02041,0.02097,0.01987,0.02049,6816.89,139.02
2018-06-30,XMRBTC,0.02042,0.02113,0.01997,0.02041,11785.29,241.97
2018-06-29,XMRBTC,0.01993,0.0207,0.01962,0.02042,15996.92,322.37
2018-06-28,XMRBTC,0.021,0.022,0.01962,0.01993,27917.62,584.82
2018-06-27,XMRBTC,0.01977,0.02126,0.01969,0.021,22829.83,475.46
2018-06-26,XMRBTC,0.02027,0.021,0.01962,0.01977,25409.54,514.33
2018-06-25,XMRBTC,0.01967,0.0208,0.01958,0.02027,21855.25,443.33
2018-06-24,XMRBTC,0.0186,0.02019,0.01848,0.01967,40904.54,791.89
2018-06-23,XMRBTC,0.01813,0.01944,0.01806,0.0186,20134.69,377.74
2018-06-22,XMRBTC,0.01839,0.0185,0.0177,0.01813,15328.5,276.51
2018-06-21,XMRBTC,0.01813,0.01839,0.01803,0.01839,7309.84,133.06
2018-06-20,XMRBTC,0.01865,0.01885,0.018,0.01813,17593.12,320.56
2018-06-19,XMRBTC,0.01887,0.0192,0.01852,0.01865,7508.45,141.66
2018-06-18,XMRBTC,0.01905,0.01924,0.0185,0.01887,11381.58,214.81
